wkt_geom,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,OWNERSHIP,CONDITION,CONDITION_,CURRENT_ST,CURRENT__1,LAST_VERIF,PLANTED_DA,BOTANICAL_,SCIENTIFIC,HERITAGE,EXCEPTIONA,CODEREQ,GSI,GREEN_FACT,WIRES,CABLED,CLEARANCE_,SPACETYPE,SITETYPE,GROWSPACE,DIAM,CONDITION1,FUNDING_SO,WATER_THRO,WATER_TH_1,WATER_TH_2,OWNERDIAM,EXPDATE,COMMON_NAM,TREEHEIGHT,ASBUILTPLA,LANDSCAPEA,COMMENTS,PRIMARYDIS,SECONDARYD,OVERRIDEYN,OVERRIDECO,SHAPE_LNG,SHAPE_LAT,IRRIGATESY,ASSETGROUP,ASSETGRO_1,MODDATE,MODBY,TOTAL_RANK,TOTAL_COUN,GENUS
MultiPoint ((-122.37266930999999204 47.57894132400002718)),259728,36,10820,TRE-92016,TRE,2627 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,3,3,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3726693,47.57894132,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37251587299994071 47.58033087300003672)),259757,36,10820,TRE-92045,TRE,2625 HARBOR AVE S,SDOT,,,INSVC,,12/31/08,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,,1,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3725159,47.58033087,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37169999899998629 47.57759300000003577)),349930,36,287002,TRE-1032980,TRE,2800 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,4,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3717,47.577593,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36193978299996843 47.57061748600006013)),342925,36,9958,TRE-500970,TRE,,SDOT,,,INSVC,,,,SEQOIA,Sequoiadendron giganteum,N,N,N,N,N,N,N,N,OTHER,,99,26,4,SDOT,0,0,0,SDOT3,,Giant Sequoia,0,,1,,DISTRICT1,,N,,-122.3619398,47.57061749,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,64,75,Sequoiadendron
MultiPoint ((-122.37122436099997458 47.57625722400007362)),259805,36,287002,TRE-92093,TRE,3100 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,4/1/00,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,Y,GRASS,MEDN,4,4,4,SDOT,0,2001,2002,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3712244,47.57625722,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.372135334999939 47.57787641400005896)),259718,36,10820,TRE-92006,TRE,2651 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,3,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3721353,47.57787641,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37259999899998775 47.58104800000006662)),349978,36,287002,TRE-1033028,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,20,7,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3726,47.581048,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37122324499995329 47.57539624000003187)),259815,36,10821,TRE-92103,TRE,3217 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,Y,GRASS,STRP,4,4,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3712232,47.57539624,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3710999999999558 47.57617200000004232)),349912,36,287002,TRE-1032962,TRE,3100 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,CHERRY,Prunus sp.,N,N,N,N,N,N,N,N,,STRP,20,6,5,SDOT,0,0,0,SDOT1,,Cherry/Plum/Laurel,0,,1,,DISTRICT1,,N,,-122.3711,47.576172,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,2,25566,Prunus
MultiPoint ((-122.37091659399999344 47.57324514300006513)),259847,36,10821,TRE-92135,TRE,3319 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,3,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3709166,47.57324514,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37179999899996119 47.57781299900005934)),349935,36,287002,TRE-1032985,TRE,2800 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3718,47.577813,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37234999899999366 47.5799900010000556)),349967,36,287002,TRE-1033017,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.37235,47.57999,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37240999899995586 47.57905000100004145)),349954,36,287002,TRE-1033004,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPRSU,Acer rubrum Red Sunset (R),N,N,N,N,N,N,N,N,,STRP,5,4,5,SDOT,0,0,0,SDOT1,,Red Sunset Red Maple,0,,1,,DISTRICT1,,N,,-122.37241,47.57905,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37099999899999148 47.57536599900004148)),349899,36,287002,TRE-1032949,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,4,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.371,47.575366,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37242350499997201 47.57844011600008116)),259722,36,10820,TRE-92010,TRE,2625 HARBOR AVE S,SDOT,,,INSVC,,12/31/08,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,,1,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3724235,47.57844011,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37079999999997426 47.5744040000000723)),349883,36,287002,TRE-1032933,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3708,47.574404,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37191999899994244 47.57777000000004364)),349934,36,10820,TRE-1032984,TRE,2800 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.37192,47.57777,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3731856729999663 47.5817394400000353)),241633,36,10819,TRE-73921,TRE,2423 S HARDY ST,PRIV,,,INSVC,,,10/6/92,CHEAUT,Prunus x subhirtella `Autumnal,N,N,N,N,N,Y,N,N,GRASS,,14,1,3,PVT,0,0,0,PRIV1,,Autumn Flowering Cherry,0,,1,"TrunkLean=0, Topped=0, BrnDefect=1, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3731857,47.58173944,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,2,25566,Prunus
MultiPoint ((-122.37076000099995099 47.57457000100004052)),349881,36,287002,TRE-1032931,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,3,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.37076,47.57457,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3725000009999917 47.57994300000007115)),350170,36,10820,TRE-1033221,TRE,2651 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPRSU,Acer rubrum Red Sunset (R),N,N,N,N,N,Y,N,Y,,STRP,4,4,4,SDOT,0,0,0,SDOT1,,Red Sunset Red Maple,0,,1,,DISTRICT1,,N,,-122.3725,47.579943,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37095846699997992 47.57356539600004908)),259844,36,10821,TRE-92132,TRE,3301 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3709585,47.57356539,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37135033999999223 47.57599502600004371)),259793,36,10821,TRE-92081,TRE,3215 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,4/1/00,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,2,4,SDOT,0,2001,2002,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3713503,47.57599503,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37225985399999217 47.57811328600007528)),259720,36,10820,TRE-92008,TRE,2627 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,Y,GRASS,STRP,4,4,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3722599,47.57811329,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3709999999999809 47.575486000000069)),349900,36,287002,TRE-1032950,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,2,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.371,47.575486,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37248313899993946 47.58018324600004689)),259763,36,10820,TRE-92051,TRE,2625 HARBOR AVE S,SDOT,,,INSVC,,12/31/08,11/1/99,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,,1,2,4,SDOT,0,2001,2002,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3724831,47.58018324,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37193361299995331 47.57749525700006643)),259748,36,10820,TRE-92036,TRE,2785 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,1,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3719336,47.57749526,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3709999999999809 47.57619800000003352)),349914,36,287002,TRE-1032964,TRE,3000 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,4,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.371,47.576198,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37239999999997053 47.58034800000007181)),349969,36,287002,TRE-1033019,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,20,6,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3724,47.580348,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37209999899994273 47.57804100100003097)),350384,36,10820,TRE-1033467,TRE,200 2ND AV NW,SDOT,,,INSVC,,12/31/07,,MTNASH,Sorbus sp.,N,N,N,N,N,Y,N,Y,,STRP,10,3,4,SDOT,0,0,0,SDOT1,,Mountain Ash/Whitebeam,0,,1,,DISTRICT1,,N,,-122.3721,47.578041,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,20,1463,Sorbus
MultiPoint ((-122.37167826099994272 47.5770819220000476)),259785,36,10820,TRE-92073,TRE,3011 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,4/1/00,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,Y,GRASS,STRP,4,4,4,SDOT,0,2001,2002,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3716783,47.57708192,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37240000099995996 47.57916700100003027)),349957,36,287002,TRE-1033007,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,4,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3724,47.579167,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36212729199996829 47.57041540500006249)),342914,36,9958,TRE-500959,TRE,,SDOT,,,INSVC,,,,SEQOIA,Sequoiadendron giganteum,N,N,N,N,N,N,N,N,OTHER,,99,17,4,SDOT,0,0,0,SDOT2,,Giant Sequoia,0,,1,,DISTRICT1,,N,,-122.3621273,47.5704154,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,64,75,Sequoiadendron
